Fax,Tel,loc2,Manager,loc1,Address
011-883-1820,011-7837364,SANDTON,Donald Mokgobinyane,NORTH WEST RAND,5TH AVE SANDOWN 2196
058-4630055,058-4630055,Lindley,Johanna van der Walt,BETHLEHEM,"6 Hatting Street, Lindley"
012-5410824,012-5411784,ROSSLYN,E Steenkamp,PRETORIA,6 Kotzenberg Road Rosslyn
044-3822541,044-3821211,Knysna,N J Pekeur,SOUTH CAPE,6 Main Str Knysna
046-645 3018,046-645 1404/20,FORT BEAUFORT,Mnqojana D.M.,MIDLANDS,"6 Market Street, Fort Beaufort, 5720"
057-6514200,057-6514200,Ventersburg,Herman Swart,BETHLEHEM,"6 Steyn Street, Ventersburg"
058-6430060,058-6430060,Warden,Frans Jacobusen,BETHLEHEM,"6, 8th Avenue, Warden"
034 - 3124478,034 - 3125751,NEWCASTLE,MOSES NKOSI,NORTHERN NATAL,60 SCOTTSTREET NEWCASTLE
048-881 3200,048-881 3040,CRADOCK,Mboniswa D.M,MIDLANDS,"60-66 Adderley Street, Cradock, 5880"
018 4310516,018 4310029,HARTBEESFONTEIN,JOHNY NTIANE,POTCHEFSTROOM,61 EENHEID STREET
051-4353740,051-4353739,KAGISANONG,TERROR SEKONYELA,BLOEMFONTEIN,6268 MOSHOESHOE STREET
031 261 9427,031-2613768,MAYVILLE,Themba Mayaba,PORT NATAL,"65 Jan Smuts Highway, Durban 4001"
040-6563013,040-6562345,DIMBAZA,M.J. Brukwe,EAST LONDON,667 B1A DIMBAZA
039-2531583,039-2531212,LUSIKISIKI,Z.CINGO,UMTATA,67 MAIN ST
018-4892418,018-4892416,KHUMA,KHUMALO V,POTCHEFSTROOM,6701/2 MOKGETHI STREET
031-309 7299,031-309 1222,GREYVILLE,Morgan Govender,PORT NATAL,"68 Stamford Hill Road, Greyville, 4023"
012-9972641,012-9972191,MORELETA PARK,LJ Brits,PRETORIA,680 Reubenstein Dr Moreleta Park
047-5770044,045-5770040,ELLIOTDALE,T.BALENI,UMTATA,69 MAIN ST
015 8123394,015 8122119,Giyani,COLSON MUTHIGE,THOHOYANDOU,69BA SECTION MAIN STREET GIYANI
053-7123040,053-7122121,KURUMAN,Mark Lottering,UPINGTON,7 Church str.
031-9122424,031-9122444,LOTUS PARK,Skhumbuzo Mbatha,HIGHWAY,"7 Egret Crescent, Lotus Park"
021-7620992,021-7623185,Plumstead,Collin Isaacs,PENINSULA,"7 ELEVEN SHOPPING CENTRE, GABRIEL RD, PLUMSTEAD, 7800"
023-3581032,023-3581032,Touwsrivier (RPO),Mzo Sigual,OVERERG,7 Jane Street Touwsrivier Spar
031-561 6569,031-561 2224,UMHLANGA ROCKS,Cheryl Smith,PORT NATAL,"7 Lagoon Drive Drive, Umhlanga Rocks, 4320"
021-7978707,021-7624483,Kenilworth,Eric Aspeling,PENINSULA,"7 MAINS AVENUE, KENILWORTH, 7700"
045-8460076,045-8460076,TARKASTAD,G.M. Mbombo (Acting),EAST LONDON,"7 TAYLOR STREET, TARKASTAD"
033-3426840,033-3451270,CUMBERWOOD,Anieël Singh,MIDLANDS,"7-9 Williams Street, Pietermaritzburg, 3201"
045-8395276,045-8393117,QUEENSTOWN,S.B. Mpela,EAST LONDON,72 CATHCART ROAD QUEENSTOWN
012-7212105,012-7213237,Bamokgoko,Vacant,POTGIETERSRUS,732 Mmakau Section
015-4915127,015-491 4141/2/,Potgietersrus,Stanley Tabane,POTGIETERSRUS,74 Ruiter Road
031-2088923,031-2088923,DORMERTON,Praveen Rampukar,PORT NATAL,"75 Stanley Copley Drive, Sydenham 4001"
036 - 6361773,036 - 6361055,EZAKHENI,JEROME NGCOBO,NORTHERN NATAL,756 C SECTION EZAKHENI
014 5100001,014 5100001,TAMPOSTAD,L G RAMADIE,POTCHEFSTROOM,757 LENGENENG
047-5680081,047-5680025,NGQELENI,VACANT,UMTATA,76 KING GEORGE ST
051-9332124,051-9333333,Ficksburg,Jaco Venter,BETHLEHEM,"76 Piet Retief Street, Ficksburg"
015-3974309,015-3974302,SOEKMEKAAR,MUSETSHO NE,PIETERSBURG,77 CHURCH STREET
031-7051815,031-7054199,NEW GERMANY,Phineas Khanyile,HIGHWAY,"77 Shepstone Road, NGY"
047-8780065,047-8780026,CACADU,M.H. Zimase,EAST LONDON,79 GREY STREET LADY FRERE
047-5481264,047-5481212,ENGCOBO,S.S. LUBELWANA,UMTATA,79 MAIN ST
039-7374179,039-7373962,MATATIELE,Edgar Jonas,MIDLANDS,"79/80 Station Rd, Shop 4, Hyper Centre, Matatiele, 4730"
021-7127965,021-7120242,Retreat,Maud Sonti,PENINSULA,"7TH AVENUE, RETREAT, 7945"
031-462 3545,031-462 1228,MOBENI,Michael Mlanduli,PORT NATAL,"8 Grimsby Road Mobeni, 4060"
053-3913200,053-3913200,WILLISTON,Vacant,UPINGTON,8 Reynekestr.
018-4771661,018-4771661,ZUIPING,VACANT,POTCHEFSTROOM,8 SHAFT
011-882-1647,011-8821658,ALEXANDRA,Justinus Waleng,NORTH WEST RAND,8 TH DRIVE ALEXANDRA 2090
014-7171182,014-7174046,Nylstroom,David Sehlapelo,POTGIETERSRUS,80 Mandela Road
031-564 0200,031-564 3450,RED HILL,Mothi Parag,PORT NATAL,"800 North Coast Road, Redhill, Durban, 4051"
039-2580186,039-2580021,TABANKULU,C.V.QWANYAZA,UMTATA,81 MAIN ST
051-611 0137,051-611 0044 /,STERKSPRUIT,Madikane M.J.,MIDLANDS,"82 Herschel Road, Sterkspruit, 9762"
028-5142341,028-5141220,Swellendam,AJJ van Loggerenberg,SOUTH CAPE,82 Voortrekker st Swellendam
031-577 8040,031-577 8040,MARBLE RAY,Wilfred Mbatha,PORT NATAL,"823 Inanda Road, Newlands West, Durban, 4037."
043-7403611,043-7402020,GONUBIE,A.N. Lugayeni,EAST LONDON,83 A MAIN ROAD GONUBIE
018-392 8969,018-3924246,MONTSHIWA,VACANT,VRYBURG,877 DIREKO AVENUE
031-3046481,031-3011228,BISHOPSGATE,Jerome Ngcobo,PORT NATAL,"88 Russell Street,Bishopsgate, 4001"
015 5162147,015 5160111,Louis Trichardt,ANDRIES ROSSOUW,THOHOYANDOU,89 KROGH STREET
041-5817284,041-5815868,WALMER,Van Rooyen W,PORT ELIZABETH,"8th Avenue, Walmer"
031-7064604,031-7064604,NAGINA,Jane Moodley,HIGHWAY,"9 Chestnut Crescent, Mariannhill, 3610"
042-2932352,042-2931200,JEFFREYSBAAI,Hay F,PORT ELIZABETH,"9 de Reyger Street, Jeffreys Bay"
057 - 899 1713,057-8991713,WESSELSBRON,LERATOMOTAUNG,VRYBURG,9 ERWEE STREET
021-363 3333,021-363-3300,Lingelethu West,Ntombi Bevu,OVERERG,9 Eyethu Shop Complex Masibambane Centre Lingelethu West
017 - 826 2276,017 - 826 2266,PIET RETIEF,HENNIE BROWN,SECUNDA,9 KRUGER STR
013-7937531,013-7937360,Komatipoort,Sindy Moyane,NELSPRUIT,"9 Louw Street, Komatipoort"
031-9731034,039-9730241,UMKOMAAS,Johan De Bruyn,HIGHWAY,9 Reynolds Str. Umkomaas
015-2231310,015-2235611,SESHEGO,MOENG LM,PIETERSBURG,"9 SESHEGO PLAZA,ZONE 4"
018 4773071,018 477 1022,MAZENZELE,JAPHTA NTONYANE,POTCHEFSTROOM,9 SHAFT
041-4620993,041-4620341,MOTHERWELL,Act VenaniJ.,PORT ELIZABETH,"9 Umnulu Street, Motherwell"
034 - 3933378,034 - 3931226,GLENCOE,GODFREY MATHEBULA,NORTHERN NATAL,92 BIGGARSTREET GLENCOE
031-469 4991,031-462 9596,MONTCLAIR,Premilla Pillay,PORT NATAL,"92 Rowland Chapman Drive, Montclair, 4004."
046-622 3422,046-622 2340 /,GRAHAMSTAD,Van Zyl EM,MIDLANDS,"94 High Street, Grahamstown, 6140"
031-3062899,031-3011928/306,DALBRIDGE,Vashika Januk,PORT NATAL,"95 Gale Street, Durban, 4001"
039-9761614,039-9783465,SCOTTBURGH,Hira Parag,HIGHWAY,95 Scott Str. Scottburgh
044-8747275,044-8741212,George,A Kumalo,SOUTH CAPE,95 York Street George
031-4656555,031-4656555,BELLAIR,Mark Lewis,PORT NATAL,"956 Sarnia Road, Bellair,4094"
021-7827003,021-7822916/782,Vishoek,Deon Gould,PENINSULA,"96 MAIN ROAD, VISHOEK, 7975"
023-3470797,023-342-6460,Worcester,Alwyn Rossouw,OVERERG,97 High Street Worcester
023-4142995,023-4142201,Beaufort West,G Pietersen,SOUTH CAPE,98 Donkin Street Beaufort West
035-3371249,035-3371249,GINGINDLOVU,Siya Nkomo,ZULULAND,98 McCullum Street
022 7830222,022 7830222,Velddrif,Theresa Brink,WEST COAST,99 VOORTREKKER ST
031-5103044,031-5103044,KWAZIMELE,Thulani Ndaba,PORT NATAL,"A1034 Inanda, Newtown, 4032"
034 - 9332444,034 - 9331118,EMONDLO,SINDY SIBIYA,NORTHERN NATAL,A508 MGOZISTREET EMONDLO
051-4511358,051-4511010,BAINSVLEI,ESME PRETORIUS,BLOEMFONTEIN,ABRAHAMSKRAAL ROAD
013-7776713,013-7776713,Casteel,Wilfred Chiloane,NELSPRUIT,Acornhoek Main Road
053-8744476,053-8741391,MANKURWANE,VACANT,KIMBERLY,ADAM NOMAKOLA STREET
039-6822261,039-6821015,PORT SHEPSTONE,Vasco Gambushe,HIGHWAY,"Aiken Street, Port Shepstone"
012-5472842,012-5471452,DOORNPOORT,F Jankowitz,PRETORIA,Airportweg Doorpark Shopping Centre
011-440-9757,011-4409757,ALEXANDRA SOUTH,Jafta Lishi,NORTH WEST RAND,"ALEXANDRA SPAR, 2ND AVENUE, ALEXANDRA, 2073"
018-468 8410,018-4686202,FLAMWOOD,AN RABOTSO,POTCHEFSTROOM,AMATIS STREET
011-845-2353,011-4219141,BENONI,A BOCK,EAST RAND,AMPTHILL DRIVE 51 BENONI 1500
046-685 0456,046-685 0001,BEDFORD,Thomas (Ms) A,MIDLANDS,"Andrew Turpin Street, Bedford, 5780"
057-7330098,057-7330030,THEUNISSEN,M E LEKOPA,BLOEMFONTEIN,ANDRIES PRETORIUS STREET
053-5910046,053-5910046,JACOBSDAL,VACANT,KIMBERLY,ANDRIES PRETORIUSSTREET
011-854-3161,011-8545901,LENASIA,Percent G,SOUTH WEST RAND,ANIMONE RD & ELAND ST LENASIA 1827
011-472-3882,011-6721717,ANSFRERE,Lammie T'lam,SOUTH WEST RAND,ANSTRUTHER ST DISCOVERY 1709
011-414-1032,011-4141014,MOHLAKENG,F. John,SOUTH WEST RAND,ARLERATE ST 66 MOHLAKENG 1766
021-4641793,021-4641754,Cape Town Post,as above,PENINSULA,AS ABOVE
013-6597440,013-6597334,Clewer,Vancant,WITBANK,Ascort Ave
044-6930120,044-6930120,Dagamaskop,H Sindelo,SOUTH CAPE,Asla park Dagamaskop
011-440-2419,011-4402408,HIGHLANDS NORTH,Judy Steenkamp,NORTH WEST RAND,ATHOL ST HIGHLANDS NORTH 2192
011-894-1450,011-8943176,DUNSWART,V VAN DER MESCHT,EAST RAND,ATLAS DRIVE 35 DUNSWART 1508
015-6190201,015-6190021,ATOK,LEKGOTHOANE MJ,PIETERSBURG,ATOK MINE
014 5363716,014 5363716,Kroondal,MAGGIE NKUNA,RUSTENBURG,AUG BEHRENS SHOPPING CENTRE
027-8518484,027-8518484,PORTH NOLLOTH,Arrie Diergaardt,UPINGTON,Baai raod
034 - 2710870,034 - 2710047,NQUTU,ELLEN ZWANE,NORTHERN NATAL,BABANANGOROAD MAINSTREET NQUTU
014 5693631,014 5693631,Mogono,LUMKA MANONG,RUSTENBURG,BAFOKENG NORTH MINE
015-2270049,015-2270001,BAKONE,MASHAMAITE LC,PIETERSBURG,BAKONE LOCAL GOVERNMENT OFFICE
013-7411970,013-7411974,West Acres,Gerda Ferreira,NELSPRUIT,"Balladone Shopping Centre, Nelspruit"
051-4463410,051-4463410,LANGENHOVENPARK,PIETER BOTHA,BLOEMFONTEIN,BANKOVS BOULEVARD ERIC SPAR
012 2540326,012 2566011,Bapong,FRANCINAH MPHANYA,RUSTENBURG,BAPONG SCHOONPLAAS SECTION
053-3841880,053-3840048,DANIELSKUIL,Hester Vermeulen,UPINGTON,Barkerstr.
011-888-1733,011-8881732,PINEGOWRIE,Mannas Sehlare,NORTH WEST RAND,"BARKSTON DRIVE, BLAIRGOWRIE 2194"
011-616-4434,011-6162401,Gardenview,Hoboyi LN,CENTRAL,"BEDFORD CENTRE, C/OSMITH & BRADFORD ST GARDENVIEW 2094"
047-4981104,047-4981057,KENTANI,N.S. Qubeka,EAST LONDON,BELL AVENUE KENTANI
032-9460155,032-9460155,BALLITO,Debbie Botha,PORT NATAL,"Belvista Centre, 22 Sandra Road, Ballito, 4420"
021-393-2542,021-393-2542,Strandfontein,Gillian Koeries,OVERERG,Bengeula & Wavecrest Avenue
015-3032270,015-3030121,LETABA,NKUNA MJ,PIETERSBURG,BENSULANI SHOPPING CENTRE
011-864-4315,011-8644650,ALRODE,RS Sibisi,EAST VAAL,BENTONITE ST ALRODE 1449
016-933-2157,016- 9337161,ZUURFONTEIN,NGC Du Plooy,EAST VAAL,BERRAGE ST VANDERBIJLPARK 1991
041-3682365,041-3688814,THE FIG TREE,Mthombeni M,PORT ELIZABETH,"Block A Shop 3, Fig Tree Shopping Centre, Charlo"
053-7411222,053-7411222,HOTAZEL,Lerina Lourens,UPINGTON,Boardman road
0,072 2198 823,BOLOTWA,N. Hashibi (Acting),EAST LONDON,BOLOTWA SYDING BOLOTWA
023-616-2449,023-616-2470,Bonnievale,Abrey April,OVERERG,Bonnievale Spar - 101 Main Road Bonnievale
057-3524344,057-3527196,MORESKOF,CONA DE BEER,BLOEMFONTEIN,"BONUS SPAR ,19 PRETORIUS STREET"
013-7990094,013-7990105,Bosbokrand,Levy Makhubele,NELSPRUIT,Bosbokrand Shopping Complex
058-2110701,058-2110630,Rosendal,Dennis Ndbaba,BETHLEHEM,"Botha Street, Rosendal"
011-805-0622,011-8052311/863,HALFWAY HOUSE,Fires Feyerabend,NORTH WEST RAND,"BOULDERS CENTRE, OLD PRETORIA RD HALFWAY HOUSE 1685"
011-391-6792,011-3916791,BIRCHLEIGH,E FREEF,EAST RAND,BOULEVARD SHOPPING CENTRE BIRCHLEIGH
021-557 1468,021-557 2511,Tableview,Linda Maree,WEST COAST,BOY DE GOEDER CIRCLE
051-4441854,051-4445125,BRANDHOF,ACT. BOBBY MOSETHLE051-4482284,BLOEMFONTEIN,BRANDWAG CENTRE
022 7722709,022 7722710,Langebaan,Gadieja Sonnie,WEST COAST,BREE ST
011-834-5587,011-8334164,Newtown,Mabogole S.R,CENTRAL,BREE ST 139 NEWTOWN 2001
053-6930018,053-6930127,RICHMOND (CAPE),VACANT,KIMBERLY,BRINKSTREET  RICHMOND
014-576-1100,014-5761111,HEKPOORT,H. Steyn,SOUTH WEST RAND,"BRITS HIGHWAY, HARTBEESFONTEIN 2800"
011-791-4957,011-7914957,BROMHOF,Rodney August,NORTH WEST RAND,"BROMHOF SPAR, CR SWART DRIVE, BROMHOF"
041-5840611,041-5840634,HUMEWOOD,Vermeulen J J,PORT ELIZABETH,"Brookes Pavillion,Museum Street, Humewood"
039-8320023,039-8320023,BULWER,Prettygirl Nzimande,MIDLANDS,"Bulwer Main Rd, Bulwer, 3244"
012-3626551,012-3627165,HATFIELD,SM Jansen,PRETORIA,Burnett Street Hatfield
053-3850075,053-3850075,LIME ACRES,Vacant,UPINGTON,Business centre Lime Acres
011-892-2947,011-8924443,POSTBANK,L M LETSOALO,EAST RAND,C O PRETORIA AND LEEUPOORT ST BOKSBURG 1460
033-3873101,033-3872448,WILLOWTON,Viz Govender,MIDLANDS,"c/o 21 Willowton Rd, Pietermaritzburg, 3201"
011-483-3702,011-7283591,ORANGE GROVE,Thomas Theron,NORTH WEST RAND,C/O 3 RD DRIVE & 6 THST ORANGE GROVE 2192
011-472-9762,011-6742404,MARAISBURG,Pumla Morodi,NORTH WEST RAND,C/O 7 TH DRIVE & 10 TH ST MARAISBURG 1700
011-622-0090,011-6220090,Bruma,Stark AL,CENTRAL,C/O ALLUM & CUMBERLAND
011-907-2101,011-8698504,ALBERTON,MJ Rampyapedi,EAST VAAL,C/O ALWYN TALJAARD & DUPLESSIS ST ALBERTON 1450
011-403-8847,011-3343344,Braamfontein,Maimela KR,CENTRAL,C/O BICCARD & DE KORTE ST. BRAAMFONTEIN 2001
011-434-3882,011-6832417,Turffontein,Lesalaisa M.M,CENTRAL,C/O CHURCH & HIGH ST TURFFONTEIN 2190
031-7821563,031-7821537,CATO RIDGE,Mildred Ncobela,MIDLANDS,"c/o Dunbar Spar, Cato Ridge, 3680"
011-646-4072,011-6461254,Parkview,Van Vuuren AHJ,CENTRAL,C/O DUNDALK & INNES ST PARKVIEW 2193
011-474-9719,011-4743037,INDUSTRIA,Criselda Nkosi,NORTH WEST RAND,C/O EDISON & PARSON ST INDUSTRIA 2093
011-614-2382,011-6149723,Jeppestown,Mokokoe M,CENTRAL,C/O FOX & BROWNING ST JEPPESTOWN 2094
011-834-2632,011-8368874,Marshalltown,Mathee HP,CENTRAL,C/O FOX & SAUER ST JOHANNESBURG
011-728-6664,011-7286213,NORWOOD,Sam Botha,NORTH WEST RAND,C/O HAMLIN & 6DE ST GARDENS 2192
011-452-4012,011-4524012,EDENGLEN,D PHOLOSHE,EAST RAND,C/O HARRIS & WAGENAAR ST EDENGLEN 1613
011-789-4839,011-7892402,RANDBURG,Experience Kings,NORTH WEST RAND,C/O HILL & KENT ST FERNDALE 2194
011-648-3406,011-6489103,Yeoville,Sogiba NE,CENTRAL,C/O KENMARE & RALLEIGH ST YEOVILLE 2198
057-5731208,057-5731208,Hennenman,Wilna Schnetler,BETHLEHEM,"c/o Kerk & Isabella Street, Hennenman"
011-916-2102,011-8932525,ELSPARK,J ERASMUS,EAST RAND,C/O KINGFISHER ST & HEIDELBERG ELSPARK 1407
011-930-1215,011-9301014,kwaXUMA,W.M. Mosifane,SOUTH WEST RAND,C/O KOMA & BULANI ST 1867
011-974-8720,011-9748729/456,ISANDO,H BOTES,EAST RAND,C/O KRAM & ISANDO RD ISANDO 1600
051-6630044,051-6630044,ROUXVILLE,JAMES NZULA,BLOEMFONTEIN,C/O LOUW & KERK STREET
051-4473323,051-4473323,BLOEMFONTEIN,PETRO JURACK,BLOEMFONTEIN,C/O MAITLAND AND GROENENDAL STREET
011-906-1620,011-9061803,RUSLOO,G N MAPHUTHA,EAST RAND,C/O MC BOTHA & MOGASHUA ST VOSLOORUS 1468
016- 455-3075,016- 4552230,VEREENIGING,MCM Beukes,EAST VAAL,C/O MERRIMAN & LESLIE ST VEREENIGING 1930
011-986-8053,011-9868052,MOROKA,S. Netshivhane,SOUTH WEST RAND,C/O MNTAMBO ST & OLD POTCHEFSTROOM RD.SOWETO
011-391-7496,011-3913789,ASTON MANOR,A BOSHOFF,EAST RAND,C/O MONUMENT & CONCORSE ST ASTON MANOR 1630
011-737-5893,011-7367406,kwaTHEMA,L ELLIS,EAST RAND,C/O NKOSI & CHAKA ST KWATHEMA 1563
032-4551096,032-4551096,NYONI,Cookie Benjamin,ZULULAND,c/o Nyoni Spar
011-665-2623,011-660-2155/58,KRUGERSDORP,Mervin Prince,SOUTH WEST RAND,C/O OCKERSE & KRUGER ST KRUGERSDORP 1740
033-3969763,033-3962316,MKONDENI,Tobie Barnard,MIDLANDS,"c/o Pollyshorts Spar, Mkondeni, 3201"
016- 981-4006,016- 9810937,VANDERBIJLPARK,S Mhangwani,EAST VAAL,C/O PRES KRUGER & F.W BEYERS ST VANDERBIJLPARK 1900
053-983 0379,053-9830022,STELLA,SHADRACK NKATE,VRYBURG,C/O PRES. STEYN EN STELLA STR.
011-917-4649,011-9179680 / 5,BOKSBURG,M LETSOALO,EAST RAND,C/O PRETORIA & LEEUPOORT ST BOKSBURG 1460
033-2631408,033-2631408,MOOIRIVIER,Sayed Kazi,MIDLANDS,"c/o Prince Kamboli, Mooi River, 3300"
011-802-3802,011-8023112,KELVIN,Tshediso Bengo,NORTH WEST RAND,"C/O RAYMOND & SOUTHWAYS, KELVIN 2054"
011-837-2417,011-8371662,Langlaagte,Van Zyl J,CENTRAL,"C/O SCHOEMAN & DE VOS STREET, LANGLAAGTE, 2092"
012-3738797,012-3738865/66,ATTERIDGEVILLE,Margrette Kgatlane,PRETORIA,c/o Seeiso & Mabuwe Street Atteridgeville
011-855-9655,011-8552011,KIASHA PARK,P. Naguru,SOUTH WEST RAND,C/O SHEFFIELD & WIMBLEDON ST KIASHA PARK 1829
031-7851415,031-7851415,CAMPERDOWN,Hassen Amin (Acting),MIDLANDS,"c/o Spar, Camperdown, 3720"
033-3431624,033-3433000,HILTON,Jakes Ganesh,MIDLANDS,"c/o Spar, Quarry Shopping Centre, Hilton, 3245"
033-3863560,033-3863568,BISLEY,Hendrien Miller,MIDLANDS,"c/o Spar, Southgate Centre, Pietermaritzburg, 3201"
033-5031046,033-5031046,WARTBURG,Bonnie Myburgh,MIDLANDS,"c/o Spar, Wartburg, 3233"
011-395-2400,011-9734912,BONAERO PARK,BUTI L,EAST RAND,C/O TEMPLEHOF & LOUIS BOTHA DRIVE BONAEROPARK 1622
011-945-2815,011-9455564,KLIPTOWN,J.Braune,SOUTH WEST RAND,C/O UNION & BOUNDARY RD KLIPTOWN 1812
035-7933631,035-7933631,KWADLANGEZWA,Fikile Khumalo,ZULULAND,c/o University of Zululand
011-762-1313,011-7621313/189,WITBEECK,Martie Oberhlozer,SOUTH WEST RAND,"C/O VAN LILL & TRIZONA ST,WITPOORTJIE 1729"
011-609-6266,011-6097404,EDENVALE,E KNOESEN,EAST RAND,C/O VOORTREKKER & HENDRIKPOTGIETER ST EDENVALE
053-927 1913,053-9272211,VRYBURG,VACANT,VRYBURG,C/O VRY EN DE KOCK STREETS
016- 594-1689,016- 5941632/16,SEBOKENG,FI Buys,EAST VAAL,C/O WESSELS & MOSHOESHOE STR SEBOKENG 1982
011-432-0487,011-6821115,Glenvista,Wessels J,CENTRAL,C/OBIGGARSBERG & TRUE NORTH ST GLENVISTA 2058
011-802-3940,011-8024078,GALLO MANOR,David Ranngu,NORTH WEST RAND,"C/OBRAIDA & KELVIN DRIVE, GALLO MANOR 2052"
011-433-0213,011-6807904,Mondeor,De Connick JHC,CENTRAL,C/OCOLUMBINE & DOWNHAM ST MONDEOR 2091
011-474-0640,011-4743130,WIBSEY,Jose Mogotsi,SOUTH WEST RAND,C/OCOMMANDO & MAIN REEF RD INDUSTRIA 1717
011-495-0618,011-4950618,Witspos,Botha B,CENTRAL,C/OCROWNWOOD & ROLANDST ORMONDE 2091
011-794-8612,011-7952812,HONEYDEW,Gert Theron,NORTH WEST RAND,C/OD.F MALAN DRIVE & BLUEBERRY ST. 2040
011-333-1762,011-3361361,Johannesburg,Nxumalo OB,CENTRAL,C/OJEPPE & SMALL ST. JHBURG 2001
011-680-0017,011-6805106,Southdale,Jacobs YB,CENTRAL,C/OLANDSBOROUGH & ALAMEIN ST SOUTHDALE 2091
041-4640246,041-4647533,ZWIDE,Limba G M,PORT ELIZABETH,"c/r Ludwaba/ Tambo Streets, Zwide"
041-9332659,041-9335106,DESPATCH,Mazitshana N I,PORT ELIZABETH,"c\o Rabie & Main Str, Despatch"
011-917-0695,011-9176560,BOKSBURGEAST,S RAMORAKE,EAST RAND,"C011-O 11 TH CHARL STREET , SATELLITE SPAR 1461"
011-737-5893,011-7367406,KWA THEMA,L ELLIS,EAST RAND,C011-O NKOSI AND CHAKA STREET KWA THEMA
021-4381526,021-4389640,Camps Bay,Lulu Mfunzana,PENINSULA,"CAMPSBAY DRIVE & ROTTINGHAM RD, CAMPSBAY, 8001"
011-725-8505,011-7268505,Melville,Kutane AZ,CENTRAL,"CAMPUS SQUARE, UPPER LEVEL, MELVILLE"
021-552 0293,021-552 0291,Century City,Rezelda Cooper,WEST COAST,"CANAL WALK SHOPPING CENTRE, ENTRANCE 7"
021-981 3362,021-981 3257,CapeGate,Vacancy,WEST COAST,"CAPE GATE SHOPPING CENTRE OKAVANGO ROAD,SHOP L47,BRACKENFELL"
,021 590 5637,CAPE MAIL,NATASHA,RLO SECTION,CAPE MAIL SECTION
021-934-2211,021-934-2211,CT International,Melanie Savage,OVERERG,Cape Town International - Domestic arrivals
021-387-5541,021-387-1453,Elonwabeni,Gladys Matinyane,OVERERG,Capital Drive Elonwabeni
021-392-5019,021-392-7754,Caravelle,Allison Phillips,OVERERG,Caravelle Road Caravelle
033-3470889,033-3472900,CASCADES,Rika Kotzé,MIDLANDS,"Cascades Crescent, Cascades Centre, Montrose, 3201"
011-297-1326,011-2971670,PROTEA GLEN,J. Ledwaba,SOUTH WEST RAND,"CASHBUILD CENTRE, C/O WILD CHESTNUT & R559"
039-2510309,039-2510270,BIZANA,L.H. MPETSHWA,UMTATA,CASINO RD
053-2030099,053-2030503,HOPETOWN,DONALD MATIKAAN,KIMBERLY,CATHCARTSTREET  HOPETOWN
011-975-8229,011-9759443,KEMPTON PARK,F INGRAM,EAST RAND,CENTRAL DRIVE 10 KEMPTON PARK 1620
012 7001882,012 7001881,Ga-Rankuwa North,VICTORIA KELAPOLOGILE,RUSTENBURG,CENTRAL SHOPPING COMPLEX
011-887-4455,011-8870452,BERGVLEI,Mpho Maya,NORTH WEST RAND,"CHADWICH RD 7, WYNBERG 2090"
None,014-7300193,Settlers,Vacant,POTGIETERSRUS,Charles white street
016-428-2343,016- 4283623,ARCON PARK,H Joubert,EAST VAAL,CHECKERS CENTRE ARCON PARK 1939
034 - 3291550,034 - 3291787,MADADENI,NONI XIMBA,NORTHERN NATAL,CHECKERS CENTRE MADADENI
011-902-4627,011-9028451,ALBEMARLE,JC Bronkhorst,EAST VAAL,CHOOSE-A-PAY KWIKSPAR ONYX ST ALBEMARLE 1410
051-7830003,051-7830003,SPRINGFONTEIN,VACANT,KIMBERLY,CHRISTIIAAN STRAUS STREET
012-3287599,012-3239231,PRETORIA,Acting R Mantsha,PRETORIA,Church Square Pretoria
054-6510049,054-6510049,KENHARDT,Kobie Mans,UPINGTON,Church str
054-9330023,054-9330023,POFADDER,Nico Donn,UPINGTON,Church str
011-945-2755,011-945 2902,ELDORADOPARK,M. Baloyi,SOUTH WEST RAND,CIRCLE RD ELDORADO PARK 1813
022 9212250,022 9212250,Citrusdal,Kevin Messina,WEST COAST,CITRUSDAL SENTRA
031-9161888,031-9161888,WINKLESPRUIT,Ivana Titton,HIGHWAY,"Clicks, Kingsburgh Centre, Winklespruit"
011-366-1496,011-3661495,DERSLEY,H SWIEGERS,EAST RAND,CLOVERDENE ROAD DERSLEY 1569
021-932-9633,021-932-6027,Elsiesrivier,Antoinette Kotze,OVERERG,Cnr 8th & 12th Street - Halt & Epping Avenue Elsiesrivier
021-852-1697,021-851-7053,Somerset-Mall,Vacant,OVERERG,Cnr Andries Pretorius Street Anf Church Street Somerset West
012-6511287,012-6511289,THABATSHWANE,MC van der Merwe,PRETORIA,Cnr Andries Pretoruis and Van Rebeeck Street
021-913 5686,021-913 3484,Welgemoed,Rochelle Davids,WEST COAST,CNR BAKKER & KOMMISSARIS ST
021-933-2310,021-932-3165,Matroosfontein,Donnie Holmes,OVERERG,Cnr Belvenie & Halt Road Matroosfontein
021-887-1470,021-883-2233,Stellenbosch,Susan Burger,OVERERG,Cnr Bird & Plain Street Stellenbosch
018 2960926,018 2961285,PROMOSA,MARTIE LAKAY,POTCHEFSTROOM,CNR BLOMMETJIE $DANIEL STREET
012-5491536,012-5491585,KARENPARK,NN Chauke,PRETORIA,Cnr Carisa & Brits Road
012-6647467,012-6645753,LYTTELTON,C Bokaba,PRETORIA,Cnr Craddock and Napier Street
